Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinSocket_2x17_P2.54mm_Vertical,1,MBoard,
J2,PinHeader_2x17_P2.54mm_Vertical,1,Floppy,
Q1,SOT-23,1,DMG2301L,
Q2,SOT-23,1,BSS123,
R1,0805,1,10k,
R2,0805,1,100R,
